base_if_frequency_mhz	lo_frequency_ghz	if_amplitude	g	phi	I_offset	Q_offset	sfdr_db
21.58	2.641186440677966	0.17789473684210527	0.00610701885062295	0.28895579676651556	0.009391483796701659	0.005638418818605964	30.82105255126953
21.58	2.641186440677966	0.1931578947368421	-0.0001798338645569954	0.29375995684801065	0.009277628731564038	0.005567013199950704	28.844812393188477
21.58	2.641186440677966	0.20842105263157895	-0.008981147235998204	0.2969489064281913	0.00930924299264596	0.005329624534343977	26.88873863220215
21.58	2.641186440677966	0.2236842105263158	-0.020638916779267612	0.29970959231536515	0.009409586303255175	0.005280646441956846	25.32970428466797
21.58	2.641186440677966	0.23894736842105263	-0.034755493111339034	0.3012645697611319	0.009051190303026353	0.00538445811717385	23.986894607543945
21.58	2.641186440677966	0.25421052631578944	-0.04900589377376121	0.30135604649958486	0.00910523834699311	0.005018790372837897	22.835330963134766
21.58	2.641186440677966	0.2694736842105263	-0.06535472419686165	0.3005125284041972	0.009033354913187457	0.005118740341769781	21.848329544067383
21.58	2.641186440677966	0.2847368421052632	-0.08131284894259988	0.2990232844992105	0.008883486489296485	0.005238173141475181	21.01346778869629
21.58	2.641186440677966	0.3	-0.09810401443131195	0.29668334127520923	0.009007098815866336	0.00488146550101728	20.327957153320312
21.58	2.6513559322033897	0.01	-0.0015764439452432295	0.26410002411460287	0.011031447694424495	0.005080290818233056	37.403656005859375
21.58	2.6513559322033897	0.02526315789473684	0.0042319970231510465	0.28321869150852574	0.010890715957423521	0.0052937726571027025	46.249366760253906
21.58	2.6513559322033897	0.04052631578947368	0.0027546409514507	0.28539853555005523	0.010799147122167323	0.004968674711543617	44.52973937988281
21.58	2.6513559322033897	0.05578947368421053	0.0016652762886842408	0.29075599268865326	0.010666127880660103	0.0050826912937585265	40.44336700439453
21.58	2.6513559322033897	0.07105263157894737	0.001088897217193996	0.2843506175075342	0.010465734996734241	0.005014535582350475	38.41632270812988
21.58	2.6513559322033897	0.0863157894736842	0.0009738498219646567	0.28156788898451823	0.010490568939104845	0.00534068585083409	36.27239799499512
21.58	2.6513559322033897	0.10157894736842105	0.0007141020996921494	0.2778595871915709	0.01037968671257966	0.005264587074371916	35.58576202392578
21.58	2.6513559322033897	0.11684210526315789	0.0014526151838420236	0.2739958357983507	0.010418188979758955	0.005361980780469559	35.02413368225098
21.58	2.6513559322033897	0.13210526315789473	0.0012005866291640585	0.26916489461299553	0.010497271257208013	0.005365195091028081	33.953046798706055
21.58	2.6513559322033897	0.1473684210526316	0.0004764833666906955	0.2666119129681556	0.010384569630591802	0.005378125558455618	32.56995391845703
21.58	2.6513559322033897	0.16263157894736843	-0.0009449051700049457	0.26777363713902186	0.010312768617488864	0.005460445553559104	30.977445602416992
21.58	2.6513559322033897	0.17789473684210527	-0.004034218305938425	0.27055586776007284	0.010236064022252696	0.005230722628009514	29.116573333740234
21.58	2.6513559322033897	0.1931578947368421	-0.00892164958383191	0.2754953631945917	0.010273768735818431	0.00520708806979996	27.226179122924805
21.58	2.6513559322033897	0.20842105263157895	-0.015759932806000593	0.2798318640609303	0.010264746962378824	0.005219952144396981	25.54696273803711
21.58	2.6513559322033897	0.2236842105263158	-0.02550659808285108	0.283234426339635	0.010242212821061806	0.005260243044903063	24.106420516967773
21.58	2.6513559322033897	0.23894736842105263	-0.0369367304543238	0.28413619265327417	0.010032938733378505	0.00483886831279847	22.85208511352539
21.58	2.6513559322033897	0.25421052631578944	-0.050617878604686584	0.2854037067611913	0.010209769987808495	0.005055825471389422	21.7811222076416
21.58	2.6513559322033897	0.2694736842105263	-0.06435117635108288	0.28478910429685317	0.010159672729927571	0.004934180125446833	20.85910415649414
21.58	2.6513559322033897	0.2847368421052632	-0.07926189321085253	0.28387415627032075	0.00994637220272043	0.004488290758270099	20.09832191467285
21.58	2.6513559322033897	0.3	-0.09388171617744948	0.28219571894243844	0.010135152465150815	0.005028350413156227	19.40645980834961
21.58	2.6615254237288135	0.01	0.022967738314881112	0.21799919044808036	0.011447368503209794	0.0039776876348674006	37.81156921386719
21.58	2.6615254237288135	0.02526315789473684	0.017280385579331897	0.25029270316683233	0.01141835694626562	0.0041418656986002365	48.98747634887695
21.58	2.6615254237288135	0.04052631578947368	0.014394668170760391	0.2608058472873556	0.011331802989347599	0.003928935928393737	43.44552993774414
21.58	2.6615254237288135	0.05578947368421053	0.010883771868000743	0.2725188917258668	0.011297249267956139	0.004388647671115235	40.10272026062012
21.58	2.6615254237288135	0.07105263157894737	0.010080850610714271	0.27849774718402553	0.011243659783487304	0.004184275938544728	37.87144660949707
21.58	2.6615254237288135	0.0863157894736842	0.008608357050887524	0.2840135533690207	0.011007377742812807	0.004084228235018499	36.911624908447266
21.58	2.6615254237288135	0.10157894736842105	0.0078027442370651335	0.2865484546373564	0.011061639161687358	0.004421647696427428	35.997337341308594
21.58	2.6615254237288135	0.11684210526315789	0.004983850386284103	0.29116338594741775	0.011130282743158762	0.004303643691083307	35.161752700805664
21.58	2.6615254237288135	0.13210526315789473	0.003526162555311657	0.2896824821992472	0.011274206515383967	0.004232559083232827	33.71871757507324
21.58	2.6615254237288135	0.1473684210526316	0.000824391657379702	0.29263292318569445	0.011083709130818516	0.004422731549871044	32.12906265258789
21.58	2.6615254237288135	0.16263157894736843	-0.00297007719906969	0.295858967775168	0.011253142619619756	0.004428975073390525	30.136579513549805
21.58	2.6615254237288135	0.17789473684210527	-0.007634638766223363	0.29940273309176374	0.011135517214012083	0.0040008020767269906	28.168025970458984
21.58	2.6615254237288135	0.1931578947368421	-0.0158994229047259	0.30411577820440383	0.01117474150644483	0.004025649821785658	26.234588623046875
21.58	2.6615254237288135	0.20842105263157895	-0.02553110061653141	0.3060277392849667	0.011368746112420634	0.0041325557877157386	24.52688217163086
21.58	2.6615254237288135	0.2236842105263158	-0.0381227144456673	0.3076946047827942	0.011467457155604273	0.0039422133864383604	23.11275863647461
21.58	2.6615254237288135	0.23894736842105263	-0.05263322744370807	0.3063083528611048	0.011526401765255366	0.0037532206983455596	21.930644989013672
21.58	2.6615254237288135	0.25421052631578944	-0.06756957074272658	0.3046415824428652	0.011339800204692514	0.003859293077621714	20.982866287231445
21.58	2.6615254237288135	0.2694736842105263	-0.08316928145584795	0.30170307607191543	0.011399875936528543	0.0035717554392548072	20.12377166748047
21.58	2.6615254237288135	0.2847368421052632	-0.10006938927396616	0.2991993910149797	0.011218757908319719	0.0034534880152372956	19.342336654663086
21.58	2.6615254237288135	0.3	-0.116065657662665	0.2950165976679895	0.011378811336443483	0.003141539754940331	18.691268920898438
21.58	2.6716949152542373	0.01	0.008854996634210043	0.2670930136836145	0.01219657135542455	0.003283172720764433	33.9988899230957
21.58	2.6716949152542373	0.02526315789473684	0.0067703863132131245	0.29374889465318654	0.012354293370562104	0.003507927385069216	47.45620346069336
21.58	2.6716949152542373	0.04052631578947368	0.0028436799991262115	0.29845015140520076	0.01221034106641944	0.003592018831752701	46.12117004394531
21.58	2.6716949152542373	0.05578947368421053	0.002078868960155265	0.2990059587572669	0.012100860275126635	0.003629076164300164	40.565189361572266
21.58	2.6716949152542373	0.07105263157894737	0.0015757230771790225	0.29704842588173586	0.0118760085111666	0.003524620083801672	38.98805046081543
21.58	2.6716949152542373	0.0863157894736842	0.0012132166818567493	0.2943383208962823	0.011697892907813569	0.0032362570581156063	36.506202697753906
21.58	2.6716949152542373	0.10157894736842105	0.0015368395388966252	0.28897258928741043	0.01160043268281033	0.0036648191326715362	36.370357513427734
